Position	Class	Dnase	H3k27ac	H3k27me3	H3k36me3	H3k4me1	H3k4me1_H3K4me3	H3k4me3	P300	TATA	LDTFs_SDTFs_CRFs	TFBS_conservation	All_TFBS_motifs	Conservation	CpGIsland	tss_Dist	GC
chr10_114258670_114258800	1	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_114723659_114723783	1	11	0	0	0	3.53295	0	0	0	0	0	0	0	0	0	0	0
chr10_119133717_119133845	1	14	10.05121	0	0	0	0.42	6.66029	0	0	0	0	0	0	0	0	0
chr10_124892379_124892509	1	0	0	0	0	0	0	4.15965	0	0	0	0	0	0	0	0	0
chr10_126365891_126366021	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_133747341_133747468	1	0	8.93927	0	0	4.5352	0	0	0	0	0	0	0	0	0	0	0
chr10_134956715_134956844	1	41	0	0	0	5.04942	0	0	0	0	0	0	0	0	0	0	0
chr10_15894400_15894521	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_22771312_22771440	1	12	0	0	0	6.01485	0	0	0	0	0	0	0	0	0	0	0
chr10_28785108_28785236	1	0	0	0	0	5.3089	0	0	0	0	0	0	0	0	0	0	0
chr10_64873905_64874029	1	0	0	0	0	5.81838	0	0	0	0	0	0	0	0	0	0	0
chr10_70815937_70816059	1	23	0	0	0	6.39852	0	0	0	0	0	0	0	0	0	0	0
chr10_80713042_80713172	1	29	0	0	0	3.38254	0	0	0	0	0	0	0	0	0	0	0
chr10_88432303_88432433	1	18	0	0	0	2.82112	0	0	0	0	0	0	0	0	0	0	0
chr10_92690847_92690977	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_93960504_93960634	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_96943871_96944000	1	0	0	0	0	0	0	9.28833	0	0	0	0	0	0	0	0	0
chr10_98356353_98356483	1	6	0	0	0	6.49026	0.61	4.1049	0	0	0	0	0	0	0	0	0
chr10_98424490_98424615	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_98783953_98784077	1	8	0	0	0	8.33223	0	0	0	0	0	0	0	0	0	0	0
chr10_99443817_99443947	1	17	0	0	0	8.03175	0	0	0	0	0	0	0	0	0	0	0
chr1_10075894_10076024	1	36	0	0	0	3.49103	0	0	0	0	0	0	0	0	0	0	0
chr1_1067335_1067465	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11_109618604_109618734	1	13	9.67736	0	0	2.49359	0	0	0	0	0	0	0	0	0	0	0
chr11_112046279_112046400	1	0	0	0	0	7.29573	0.48	7.78966	0	0	0	0	0	0	0	0	0
chr11_113244857_113244987	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11_121233751_121233875	1	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_112452000_112452126	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr11_132953272_132953400	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_117236860_117236986	1	0	4.19009	0	0	9.79884	0	0	0	0	0	0	0	0	0	0	0
chr1_117560411_117560541	1	20	0	0	0	3.98932	0	0	0	0	0	0	0	0	0	0	0
chr11_1863804_1863934	1	21	0	0	0	6.27672	0	0	0	0	0	0	0	0	0	0	0
chr11_1990821_1990951	1	49	7.02684	0	0	6.27547	0	0	0	0	0	0	0	0	0	0	0
chr11_20122226_20122356	1	24	0	0	0	4.7066	0	0	0	0	0	0	0	0	0	0	0
