Position	Class	Dnase	H3k27ac	H3k27me3	H3k36me3	H3k4me1	H3k4me1_H3K4me3	H3k4me3	P300	TATA	LDTFs_SDTFs_CRFs	TFBS_conservation	All_TFBS_motifs	Conservation	CpGIsland	tss_Dist	GC
chr10_101432959_101433459	1	14	8.42960	0	0	7.24407	0	0	0	0	1	825	1	0.04868	0	13696	0.4
chr10_104881098_104881598	1	23	12.88439	0	0	6.54818	0	0	76.57264753832	0	0	962	1	0.18250	0	14653	0.408
chr10_111734565_111735065	1	30	6.73577	0	0	5.29431	0.61	4.07216	46.5528806328498	0	0	915	1	0.69512	0	20915	0.378
chr10_114154155_114154655	1	90	17.59915	0	0	7.92646	0.70	3.20857	203.59163449885	0	1	997	1	0.25750	0	14593	0.436
chr10_114154249_114154749	1	90	17.59915	0	0	7.92646	0.70	3.38546	203.59163449885	0	1	997	1	0.25750	0	14499	0.436
chr10_114323064_114323564	1	83	20.57400	0	0	8.07863	0.60	4.71641	150.484976900711	1	1	1000	1	0.88620	0	114014	0.338
chr10_114418527_114419027	1	31	13.92350	0	0	9.24903	0	0	96.0757632942046	0	1	916	1	0.31734	0	18551	0.362
chr10_114419030_114419530	1	24	9.16649	0	0	5.47392	0	0	96.0757632942046	0	0	942	1	0.70553	0	18048	0.394
chr10_114498245_114498745	1	13	45.73027	0	0	12.05736	0	0	0	0	1	908	1	0.40262	0	60666	0.42
chr10_114498516_114499016	1	13	45.73027	0	0	12.05736	0	0	0	0	1	933	1	0.40262	0	60937	0.506
chr10_114501415_114501915	1	19	45.73027	0	0	5.21961	0.49	0	95.3854758149332	1	1	1000	1	0.62782	0	63836	0.32
chr10_114501858_114502358	1	15	45.73027	0	0	5.21961	0.49	0	95.3854758149332	0	1	959	1	0.62782	0	64279	0.396
chr10_114658986_114659486	1	0	12.39440	0	0	6.51458	0.33	14.93461	0	0	1	924	1	0.20912	0	10492	0.486
chr10_114819844_114820344	1	15	10.04203	0	0	9.84499	0.64	0	0	1	1	1000	1	0.41628	0	83334	0.406
chr10_121514398_121514898	1	10	4.01681	0	0	4.53289	0	0	0	0	1	896	1	0.24529	0	26240	0.446
chr10_12279648_12280148	1	16	15.50751	0	0	7.32885	0	0	99.3128892515726	0	1	960	1	0.02550	0	7904	0.372
chr10_123804096_123804596	1	0	15.35031	0	0	12.74994	0.70	5.34265	0	0	0	942	1	0.12661	0	22645	0.41
chr10_124063476_124063976	1	45	37.74035	0	0	7.03445	0.54	5.93305	74.4943988029215	0	1	974	1	0.03711	0	12880	0.492
chr10_126428837_126429337	1	26	16.24923	0	0	7.02713	0.32	14.63660	30.7669273583986	0	1	1000	1	0.51293	0	2202	0.406
chr10_14577687_14578187	1	25	0	0	0	6.56169	0	0	0	0	1	914	1	0.00803	0	2977	0.424
chr10_15378062_15378562	1	0	29.74355	0	0	9.50870	0.63	0	0	0	1	0	1	0.01466	0	34496	0.382
chr10_15385936_15386436	1	0	26.05685	0	0	6.21400	0.65	3.36980	23.8193125737433	0	1	820	1	0.00794	0	26622	0.402
chr10_21800203_21800703	1	0	0	0	0	5.63394	0	0	0	0	0	999	0	0.72684	0	6145	0.352
chr10_23475637_23476137	1	40	19.47441	0	0	8.75037	0.49	8.78485	142.429447638574	0	1	895	1	0.18366	0	5118	0.418
chr10_25367808_25368308	1	33	22.71594	0	0	9.58454	0.70	5.76108	49.5518537422762	0	1	964	1	0.06506	0	33678	0.398
chr10_25367809_25368309	1	33	22.71594	0	0	9.58454	0.70	5.76108	49.5518537422762	0	1	964	1	0.06506	0	33677	0.4
