Position	Class	Ctcf	Dnase	H3k27ac	H3k27me3	H3k36me3	H3k4me1	H3k4me1_H3K4me3	H3k4me3	H3k4me3_H3k27me3	H3k79me2	H3k9ac	H3k9me3	H4k20me1	P300	Pol2	tss_Dist	CpGIsland	GC_content
chr10_126365891_126366021	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26172	0	0.5846
chr10_92690847_92690977	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9813	0	0.5538
chr1_1067335_1067465	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4931	0	0.6076
chr1_112452000_112452126	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0.4761
chr11_132953272_132953400	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139608	1	0.7265
chr1_151811355_151811483	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1550	1	0.6875
chr1_153955073_153955200	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2638	0	0.5039
chr11_64216200_64216327	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0.6535
chr11_6676812_6676939	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	1	0.8188
chr11_8103317_8103446	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	408	0	0.6744
chr1_206490635_206490765	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64189	0	0.3769
chr12_111736987_111737114	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64402	0	0.6141
chr1_211872169_211872291	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12305	0	0.5409
chr12_14925000_14925130	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	934	0	0.3846
chr12_39538933_39539063	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52256	1	0.6692
chr12_52115671_52115800	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35464	1	0.5581
chr13_24734054_24734182	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	678	0	0.4843
chr13_27268041_27268171	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51958	0	0.6
chr13_42340089_42340217	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69833	0	0.5234
chr14_53019672_53019800	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	1	0.7187
chr15_24921335_24921465	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	794	0	0.6307
chr17_16395659_16395789	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	191	1	0.7769
chr18_33176563_33176693	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	698	0	0.4307
chr18_77198335_77198465	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9804	0	0.6615
chr18_8623831_8623961	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8895	0	0.5384
chr19_34311502_34311632	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6786	1	0.6846
chr19_4084211_4084341	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15729	0	0.6923
chr19_49935480_49935610	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3827	0	0.6615
chr20_36531778_36531908	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	1	0.7461
chr20_49500292_49500422	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20431	0	0.5769
chr20_5150924_5151054	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5693	0	0.5769
chr21_26934301_26934431	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	1	0.4923
chr2_131089815_131089945	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9763	0	0.5769
chr22_22982088_22982218	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6561	0	0.6692
chr22_31688615_31688744	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0.4496
chr22_35539638_35539768	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20984	0	0.5076
chr2_242664890_242665020	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	1	0.7923
chr22_45809235_45809365	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	1	0.7384
chr2_900235_900365	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	618	0	0.4461
chr2_95523474_95523600	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13577	1	0.6349
chr3_125634912_125635036	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5796	1	0.6532
