Position	Class	Dnase	H3k27ac	H3k27me3	H3k36me3	H3k4me1	H3k4me1_H3K4me3	H3k4me3	P300	TATA	LDTFs_SDTFs_CRFs	TFBS_conservation	All_TFBS_motifs	Conservation	CpGIsland	tss_Dist	GC
chr10_114258670_114258800	1	25	0	0	0	0	0	0	0	0	1	0	1	0.72191	0	51553	0.4230
chr10_114723659_114723783	1	11	0	0	0	3.53295	0	0	0	0	1	963	1	0.53502	0	12024	0.5241
chr10_119133717_119133845	1	14	10.05121	0	0	0	0.42	6.66029	0	0	0	0	0	0.00963	0.96	147	0.6953
chr10_124892379_124892509	1	0	0	0	0	0	0	4.15965	0	0	1	0	1	0.00189	0.75	2968	0.5769
chr10_126365891_126366021	1	0	0	0	0	0	0	0	0	0	0	0	0	0.00343	0	26172	0.5846
chr10_133747341_133747468	1	0	8.93927	0	0	4.53520	0	0	0	0	1	0	1	0.00288	0	5811	0.4566
chr10_134956715_134956844	1	41	0	0	0	5.04942	0	0	0	0	0	0	1	0.13368	0	17106	0.5736
chr10_15894400_15894521	1	8	0	0	0	0	0	0	0	0	1	800	1	0.05928	0	7976	0.3388
chr10_22771312_22771440	1	12	0	0	0	6.01485	0	0	0	0	0	0	1	0.06069	0	57124	0.4687
chr10_28785108_28785236	1	0	0	0	0	5.30890	0	0	0	0	1	0	1	0.00375	0	365	0.5078
chr10_64873905_64874029	1	0	0	0	0	5.81838	0	0	0	0	0	870	0	0.36284	0	11268	0.4435
chr10_70815937_70816059	1	23	0	0	0	6.39852	0	0	0	0	0	0	0	0.01652	0	31802	0.5819
chr10_80713042_80713172	1	29	0	0	0	3.38254	0	0	0	0	0	808	1	0.41160	0	8979	0.6153
chr10_88432303_88432433	1	18	0	0	0	2.82112	0	0	0	0	0	925	1	0.22267	0	3854	0.6
chr10_92690847_92690977	1	0	0	0	0	0	0	0	0	0	0	901	0	0.22454	0	9813	0.5538
chr10_93960504_93960634	1	14	0	0	0	0	0	0	0	0	0	0	1	0.01055	0	42369	0.3923
chr10_96943871_96944000	1	0	0	0	0	0	0	9.28833	0	0	0	0	0	0.22111	0	9956	0.4961
chr10_98356353_98356483	1	6	0	0	0	6.49026	0.61	4.10490	0	0	1	745	1	0.01633	0	9143	0.3923
chr10_98424490_98424615	1	9	0	0	0	0	0	0	0	0	0	0	1	0.01009	0	4753	0.52
chr10_98783953_98784077	1	8	0	0	0	8.33223	0	0	0	0	0	888	1	0.04388	0	24529	0.4758
chr10_99443817_99443947	1	17	0	0	0	8.03175	0	0	0	0	0	0	1	0.00758	0	3133	0.5307
chr1_10075894_10076024	1	36	0	0	0	3.49103	0	0	0	0	0	0	0	0.00244	0	16865	0.5153
chr1_1067335_1067465	1	0	0	0	0	0	0	0	0	0	0	0	0	0.00090	0	4931	0.6076
chr11_109618604_109618734	1	13	9.67736	0	0	2.49359	0	0	0	0	0	0	1	0.00057	0	75839	0.4307
chr11_112046279_112046400	1	0	0	0	0	7.29573	0.48	7.78966	0	0	0	900	0	0.07278	0	10	0.4214
chr11_113244857_113244987	1	12	0	0	0	0	0	0	0	0	0	0	1	0.02850	0	5657	0.5230
chr11_121233751_121233875	1	23	0	0	0	0	0	0	0	0	0	0	0	0.01961	1.09	57292	0.7983
chr1_112452000_112452126	1	0	0	0	0	0	0	0	0	0	0	895	0	0.00490	0	143	0.4761
chr11_132953272_132953400	1	0	0	0	0	0	0	0	0	0	0	0	0	0.00232	1.03	139608	0.7265
chr1_117236860_117236986	1	0	4.19009	0	0	9.79884	0	0	0	0	0	0	1	0.00348	0	126	0.5634
chr1_117560411_117560541	1	20	0	0	0	3.98932	0	0	0	0	0	809	1	0.08945	0	14602	0.5384
chr11_1863804_1863934	1	21	0	0	0	6.27672	0	0	0	0	0	0	1	0.01309	0	2356	0.6153
chr11_1990821_1990951	1	49	7.02684	0	0	6.27547	0	0	0	0	1	0	1	0.00341	0.62	14014	0.7153
chr11_20122226_20122356	1	24	0	0	0	4.70660	0	0	0	0	0	0	1	0.00925	0	3400	0.5230
chr11_2020615_2020745	1	14	0	0	0	0	0	0	0	0	0	0	1	0.01697	0	1509	0.5615
chr1_12124540_12124670	1	25	10.29026	0	0	4.72517	0.25	13.95602	0	0	1	0	1	0.00102	0	1013	0.5538
chr11_27231193_27231323	1	23	0	0	0	3.49103	0	0	0	0	1	956	1	0.87977	0	8959	0.5
chr11_35060170_35060300	1	11	0	0	0	7.39494	0	0	0	0	0	0	1	0.02192	0	53990	0.4692
chr11_44747849_44747979	1	20	0	0	0	0	0	0	0	0	0	0	1	0.00188	0	35	0.5692
chr11_46294440_46294570	1	18	0	0	0	6.93491	0	0	0	0	1	956	1	0.58756	0	1528	0.5769
chr11_46934393_46934521	1	0	0	0	0	0	0.34	5.84727	0	0	0	1000	1	0.85625	0	5652	0.5468
chr1_151689386_151689516	1	79	0	0	0	0	0	0	0	0	1	959	1	0.60980	0	95	0.5692
chr1_151811355_151811483	1	0	0	0	0	0	0	0	0	0	0	998	0	0.27628	0.99	1550	0.6875
chr11_5246081_5246211	1	20	15.25171	0	0	9.16321	0.62	5.62996	0	0	0	0	1	0.00046	0	1842	0.5538
